nome,squadra,confidence,status
Klitten,Frosinone,61.5,UNRESOLVED
N'Guessan,Torino,62.5,UNRESOLVED
Natan,Napoli,66.7,UNRESOLVED
Corazza,Bologna,61.5,UNRESOLVED
Mateus Lusuardi,Frosinone,48.0,UNRESOLVED
Kalaj,Frosinone,54.5,UNRESOLVED
Sazonov,Torino,57.1,UNRESOLVED
Simic J.,Milan,66.7,UNRESOLVED
Jimenez A.,Milan,70.6,UNRESOLVED
Goglichidze,Empoli,55.6,UNRESOLVED
Candreva,Salernitana,62.5,UNRESOLVED
Bonaventura,Fiorentina,63.2,UNRESOLVED
Luis Alberto,Lazio,63.2,UNRESOLVED
Vecino,Lazio,66.7,UNRESOLVED
Miranchuk,Atalanta,62.5,UNRESOLVED
Felipe Anderson,Lazio,74.1,UNRESOLVED
Oudin,Lecce,66.7,UNRESOLVED
Pereyra,Udinese,57.1,UNRESOLVED
Viola,Cagliari,72.7,UNRESOLVED
Tchaouna,Salernitana,57.1,UNRESOLVED
Reijnders,Milan,60.0,UNRESOLVED
Bennacer,Milan,57.1,UNRESOLVED
Duncan,Fiorentina,54.5,UNRESOLVED
Arthur Melo,Fiorentina,58.8,UNRESOLVED
Badelj,Genoa,61.5,UNRESOLVED
Barak,Fiorentina,66.7,UNRESOLVED
Guendouzi,Lazio,57.1,UNRESOLVED
Nandez,Cagliari,54.5,UNRESOLVED
Radonjic,Torino,62.5,UNRESOLVED
Asllani,Inter,66.7,UNRESOLVED
Alcaraz,Juventus,58.8,UNRESOLVED
Paredes,Roma,66.7,UNRESOLVED
Aouar,Roma,60.0,UNRESOLVED
Castrovilli,Fiorentina,72.7,UNRESOLVED
Hjulmand,Lecce,66.7,UNRESOLVED
Kastanos,Salernitana,70.6,UNRESOLVED
Walace,Udinese,61.5,UNRESOLVED
Duda,Verona,66.7,UNRESOLVED
Chukwueze,Milan,47.1,UNRESOLVED
Maggiore,Salernitana,61.5,UNRESOLVED
Ndoye,Bologna,72.7,UNRESOLVED
El Azzouzi,Bologna,70.0,UNRESOLVED
Verdi,Torino,72.7,UNRESOLVED
Zurkowski,Empoli,73.7,UNRESOLVED
Schouten,Bologna,57.1,UNRESOLVED
Ikone',Fiorentina,61.5,UNRESOLVED
Bajrami,Sassuolo,58.8,UNRESOLVED
Strootman,Genoa,62.5,UNRESOLVED
Reinier,Frosinone,62.5,UNRESOLVED
Racic,Sassuolo,72.7,UNRESOLVED
Kovalenko,Empoli,62.5,UNRESOLVED
Bove,Roma,66.7,UNRESOLVED
Adli,Milan,72.7,UNRESOLVED
Gonzalez J.,Lecce,63.2,UNRESOLVED
Amrabat,Fiorentina,61.5,UNRESOLVED
Gyasi,Empoli,72.7,UNRESOLVED
Blin,Lecce,61.5,UNRESOLVED
Buchanan,Inter,61.5,UNRESOLVED
Mitrovic S.,Verona,63.2,UNRESOLVED
Jankto,Cagliari,60.0,UNRESOLVED
Linetty,Torino,61.5,UNRESOLVED
Vignato,Salernitana,66.7,UNRESOLVED
Traore' Hj.,Napoli,60.0,UNRESOLVED
Weah,Juventus,50.0,UNRESOLVED
Urbanski,Bologna,61.5,UNRESOLVED
Hongla,Verona,60.0,UNRESOLVED
Barrenechea,Frosinone,58.8,UNRESOLVED
Rafia,Lecce,60.0,UNRESOLVED
Tchatchoua,Verona,50.0,UNRESOLVED
Aramu,Genoa,60.0,UNRESOLVED
Renato Sanches,Roma,60.0,UNRESOLVED
Marcos Antonio,Lazio,58.3,UNRESOLVED
Ciurria,Monza,57.1,UNRESOLVED
Ranocchia F.,Empoli,69.2,UNRESOLVED
Mboula,Verona,66.7,UNRESOLVED
Makoumbou,Cagliari,58.8,UNRESOLVED
Gelli,Frosinone,66.7,UNRESOLVED
Cajuste,Napoli,61.5,UNRESOLVED
Kutlu,Genoa,72.7,UNRESOLVED
Ibrahimovic A.,Frosinone,58.3,UNRESOLVED
Dani Silva,Verona,58.8,UNRESOLVED
Krunic,Milan,66.7,UNRESOLVED
Sensi,Inter,72.7,UNRESOLVED
Haas,Empoli,50.0,UNRESOLVED
Klaassen,Inter,62.5,UNRESOLVED
Henderson L.,Empoli,60.0,UNRESOLVED
Kourfalidis,Cagliari,66.7,UNRESOLVED
Bohinen,Genoa,72.7,UNRESOLVED
Vignato S.,Monza,66.7,UNRESOLVED
Lindstrom,Napoli,66.7,UNRESOLVED
Kaba,Lecce,66.7,UNRESOLVED
Martegani,Salernitana,66.7,UNRESOLVED
Lulic K.,Frosinone,62.5,UNRESOLVED
Baez,Frosinone,66.7,UNRESOLVED
Dendoncker,Napoli,62.5,UNRESOLVED
Obiang,Sassuolo,61.5,UNRESOLVED
Amatucci,Fiorentina,66.7,UNRESOLVED
Infantino,Fiorentina,66.7,UNRESOLVED
Pagano,Roma,66.7,UNRESOLVED
Gomis I.,Salernitana,55.6,UNRESOLVED
D'Alessandro,Monza,52.6,UNRESOLVED
Gomez,Monza,66.7,UNRESOLVED
Mancosu,Cagliari,57.1,UNRESOLVED
Pogba,Juventus,72.7,UNRESOLVED
Benassi,Fiorentina,70.6,UNRESOLVED
Rog,Cagliari,60.0,UNRESOLVED
Melegoni,Genoa,62.5,UNRESOLVED
Crociata,Empoli,66.7,UNRESOLVED
Castillejo,Sassuolo,62.5,UNRESOLVED
Bourabia,Frosinone,62.5,UNRESOLVED
Jagiello,Genoa,62.5,UNRESOLVED
Demme,Napoli,54.5,UNRESOLVED
Quina,Udinese,66.7,UNRESOLVED
Pyyhtia,Bologna,50.0,UNRESOLVED
Pafundi,Udinese,61.5,UNRESOLVED
Hrustic,Verona,71.4,UNRESOLVED
Degli Innocenti,Empoli,54.5,UNRESOLVED
Faticanti,Lecce,62.5,UNRESOLVED
Belardinelli,Empoli,63.2,UNRESOLVED
Lella,Cagliari,66.7,UNRESOLVED
Saco,Napoli,66.7,UNRESOLVED
Joselito,Verona,62.5,UNRESOLVED
Nonge,Juventus,54.5,UNRESOLVED
Popovic,Monza,66.7,UNRESOLVED
Giroud,Milan,61.5,UNRESOLVED
Osimhen,Napoli,71.4,UNRESOLVED
Lookman,Atalanta,71.4,UNRESOLVED
Gonzalez N.,Fiorentina,58.8,UNRESOLVED
Zirkzee,Bologna,50.0,UNRESOLVED
Chiesa,Juventus,60.0,UNRESOLVED
Kvaratskhelia,Napoli,57.1,UNRESOLVED
Soule',Frosinone,72.7,UNRESOLVED
Okafor,Milan,61.5,UNRESOLVED
Beto,Udinese,72.7,UNRESOLVED
Retegui,Genoa,60.0,UNRESOLVED
Ngonge,Napoli,61.5,UNRESOLVED
Lucca,Udinese,54.5,UNRESOLVED
Luvumbo,Cagliari,61.5,UNRESOLVED
Beltran L.,Fiorentina,60.0,UNRESOLVED
Immobile,Lazio,53.3,UNRESOLVED
Thauvin,Udinese,57.1,UNRESOLVED
Sanchez,Inter,58.8,UNRESOLVED
Arnautovic,Inter,66.7,UNRESOLVED
Muriel,Atalanta,72.7,UNRESOLVED
Azmoun,Roma,72.7,UNRESOLVED
Niang,Empoli,57.1,UNRESOLVED
Jovic,Milan,72.7,UNRESOLVED
Barrow,Bologna,61.5,UNRESOLVED
Ceesay,Lecce,57.1,UNRESOLVED
Castellanos,Lazio,63.6,UNRESOLVED
Shomurodov,Cagliari,52.6,UNRESOLVED
Toure' E.,Atalanta,70.6,UNRESOLVED
Correa,Inter,66.7,UNRESOLVED
Kouame',Fiorentina,57.1,UNRESOLVED
Lozano,Napoli,66.7,UNRESOLVED
Sansone,Lecce,57.1,UNRESOLVED
Lapadula,Cagliari,53.3,UNRESOLVED
Swiderski,Verona,58.8,UNRESOLVED
Defrel,Sassuolo,61.5,UNRESOLVED
Di Francesco F.,Lecce,55.2,UNRESOLVED
Brekalo,Fiorentina,66.7,UNRESOLVED
Simy,Salernitana,54.5,UNRESOLVED
Abraham,Roma,58.8,UNRESOLVED
Cerri,Empoli,72.7,UNRESOLVED
Caputo,Empoli,57.1,UNRESOLVED
Kaio Jorge,Frosinone,60.0,UNRESOLVED
Solbakken,Roma,62.5,UNRESOLVED
Lasagna,Verona,62.5,UNRESOLVED
