nome,squadra,confidence,status
Szczesny,Juventus,53.3,UNRESOLVED
Ospina,Napoli,66.7,UNRESOLVED
Handanovic,Inter,58.8,UNRESOLVED
Rui Patricio,Roma,66.7,UNRESOLVED
Strakosha,Lazio,55.6,UNRESOLVED
Musso,Atalanta,66.7,UNRESOLVED
Vicario,Empoli,66.7,UNRESOLVED
Consigli,Sassuolo,66.7,UNRESOLVED
Cragno,Cagliari,66.7,UNRESOLVED
Sirigu,Genoa,66.7,UNRESOLVED
Maenpaa,Venezia,66.7,UNRESOLVED
Reina,Lazio,66.7,UNRESOLVED
Belec,Salernitana,61.5,UNRESOLVED
Dragowski,Fiorentina,63.2,UNRESOLVED
Zovko,Spezia,60.0,UNRESOLVED
Radunovic,Cagliari,66.7,UNRESOLVED
Zoet,Spezia,66.7,UNRESOLVED
Mirante,Milan,66.7,UNRESOLVED
Tatarusanu,Milan,50.0,UNRESOLVED
Ujkani,Empoli,66.7,UNRESOLVED
Brignoli,Empoli,70.6,UNRESOLVED
Radu I.,Inter,58.8,UNRESOLVED
Cordaz,Inter,62.5,UNRESOLVED
Aresti,Cagliari,66.7,UNRESOLVED
Fiorillo,Salernitana,66.7,UNRESOLVED
Santurro,Udinese,58.8,UNRESOLVED
Romero S.,Venezia,63.6,UNRESOLVED
Fuzato,Roma,62.5,UNRESOLVED
Rosati,Fiorentina,72.7,UNRESOLVED
Andrenacci,Genoa,60.0,UNRESOLVED
Gemello,Torino,66.7,UNRESOLVED
Krapikas,Spezia,50.0,UNRESOLVED
Pandur,Verona,72.7,UNRESOLVED
Boer,Roma,66.7,UNRESOLVED
Alia,Lazio,72.7,UNRESOLVED
Gasparini,Udinese,70.0,UNRESOLVED
Adamonis,Lazio,62.5,UNRESOLVED
Bertinato,Venezia,63.2,UNRESOLVED
Molla,Bologna,66.7,UNRESOLVED
Russo,Salernitana,61.5,UNRESOLVED
Piana,Udinese,66.7,UNRESOLVED
Neri,Venezia,66.7,UNRESOLVED
Hernandez T.,Milan,52.6,UNRESOLVED
Faraoni,Verona,66.7,UNRESOLVED
Skriniar,Inter,57.1,UNRESOLVED
Molina N.,Udinese,62.5,UNRESOLVED
Bonucci,Juventus,61.5,UNRESOLVED
Romero,Atalanta,66.7,UNRESOLVED
Singo,Torino,66.7,UNRESOLVED
De Ligt,Juventus,62.5,UNRESOLVED
Udogie,Udinese,60.0,UNRESOLVED
D'ambrosio,Inter,55.6,UNRESOLVED
Criscito,Genoa,58.8,UNRESOLVED
Mari',Udinese,72.7,UNRESOLVED
Mario Rui,Napoli,71.4,UNRESOLVED
Palomino,Atalanta,62.5,UNRESOLVED
Karsdorp,Roma,61.5,UNRESOLVED
Rodrigo Becao,Udinese,64.0,UNRESOLVED
Hickey,Bologna,60.0,UNRESOLVED
Theate,Bologna,71.4,UNRESOLVED
Radovanovic,Salernitana,63.2,UNRESOLVED
De Sciglio,Juventus,63.6,UNRESOLVED
Florenzi,Milan,66.7,UNRESOLVED
Ibanez,Roma,61.5,UNRESOLVED
Tomiyasu,Bologna,62.5,UNRESOLVED
Erlic,Spezia,72.7,UNRESOLVED
Ansaldi,Torino,71.4,UNRESOLVED
Nuytinck,Udinese,57.1,UNRESOLVED
Demiral,Atalanta,61.5,UNRESOLVED
Augello,Sampdoria,66.7,UNRESOLVED
Ceccaroni,Venezia,73.7,UNRESOLVED
Chiellini,Juventus,66.7,UNRESOLVED
Caldara,Venezia,71.4,UNRESOLVED
Fazio,Salernitana,66.7,UNRESOLVED
Milenkovic,Fiorentina,73.7,UNRESOLVED
Colley,Sampdoria,55.6,UNRESOLVED
Kyriakopoulos,Sassuolo,45.5,UNRESOLVED
Lovato,Cagliari,61.5,UNRESOLVED
Altare,Cagliari,66.7,UNRESOLVED
Haps,Venezia,50.0,UNRESOLVED
Ferrari A.,Sampdoria,60.0,UNRESOLVED
Toloi,Atalanta,72.7,UNRESOLVED
Samir,Udinese,72.7,UNRESOLVED
Ceppitelli,Cagliari,66.7,UNRESOLVED
Ferrari G.,Sassuolo,58.8,UNRESOLVED
Hateboer,Atalanta,66.7,UNRESOLVED
Depaoli,Verona,66.7,UNRESOLVED
Lyanco,Torino,60.0,UNRESOLVED
Odriozola,Fiorentina,66.7,UNRESOLVED
Kjaer,Milan,54.5,UNRESOLVED
Igor,Fiorentina,66.7,UNRESOLVED
Ferrer,Spezia,71.4,UNRESOLVED
Soppy,Udinese,46.2,UNRESOLVED
Hefti,Genoa,54.5,UNRESOLVED
Caceres,Cagliari,66.7,UNRESOLVED
Bani,Genoa,72.7,UNRESOLVED
Reca,Spezia,60.0,UNRESOLVED
Dijks,Bologna,61.5,UNRESOLVED
Maitland-Niles,Roma,57.1,UNRESOLVED
Muldur,Sassuolo,54.5,UNRESOLVED
Ampadu,Venezia,61.5,UNRESOLVED
Yoshida,Sampdoria,53.3,UNRESOLVED
Ayhan,Sassuolo,72.7,UNRESOLVED
Maehle,Atalanta,72.7,UNRESOLVED
Kiwior,Spezia,57.1,UNRESOLVED
Chiriches,Sassuolo,52.6,UNRESOLVED
Gyomber,Salernitana,66.7,UNRESOLVED
Alex Sandro,Juventus,60.0,UNRESOLVED
Bereszynski,Sampdoria,57.1,UNRESOLVED
Dalbert,Cagliari,66.7,UNRESOLVED
Rogerio,Sassuolo,61.5,UNRESOLVED
Luiz Felipe,Lazio,70.6,UNRESOLVED
Gunter,Verona,66.7,UNRESOLVED
Djidji,Torino,57.1,UNRESOLVED
Nikolaou,Spezia,66.7,UNRESOLVED
Toljan,Sassuolo,61.5,UNRESOLVED
Tuanzebe,Napoli,57.1,UNRESOLVED
Sutalo,Verona,71.4,UNRESOLVED
Soumaoro,Bologna,61.5,UNRESOLVED
Ruggeri,Salernitana,61.5,UNRESOLVED
Zima,Torino,60.0,UNRESOLVED
Izzo,Torino,57.1,UNRESOLVED
Murillo,Sampdoria,66.7,UNRESOLVED
Maksimovic,Genoa,66.7,UNRESOLVED
Murru,Sampdoria,60.0,UNRESOLVED
Bonifazi,Bologna,70.6,UNRESOLVED
Hristov,Spezia,66.7,UNRESOLVED
Godin,Cagliari,66.7,UNRESOLVED
Kumbulla,Roma,57.1,UNRESOLVED
Dragusin,Salernitana,62.5,UNRESOLVED
Ebuehi,Venezia,57.1,UNRESOLVED
Svoboda,Venezia,71.4,UNRESOLVED
Cacace,Empoli,66.7,UNRESOLVED
Masiello,Genoa,66.7,UNRESOLVED
Tonelli,Empoli,66.7,UNRESOLVED
Ranocchia,Inter,66.7,UNRESOLVED
Radu,Lazio,54.5,UNRESOLVED
Ghoulam,Napoli,72.7,UNRESOLVED
Manolas,Napoli,71.4,UNRESOLVED
Mantovani,Salernitana,62.5,UNRESOLVED
Fiamozzi,Empoli,66.7,UNRESOLVED
Farago',Cagliari,66.7,UNRESOLVED
Vanheusden,Genoa,60.0,UNRESOLVED
Nastasic,Fiorentina,66.7,UNRESOLVED
Retsos,Verona,54.5,UNRESOLVED
Zeegelaar,Udinese,57.1,UNRESOLVED
Mateju,Venezia,54.5,UNRESOLVED
Terzic,Fiorentina,66.7,UNRESOLVED
Chabot,Sampdoria,66.7,UNRESOLVED
Denswil,Bologna,61.5,UNRESOLVED
Empereur,Verona,71.4,UNRESOLVED
Czyborra,Genoa,58.8,UNRESOLVED
Calafiori,Genoa,66.7,UNRESOLVED
Frabotta,Verona,71.4,UNRESOLVED
Vignali,Spezia,71.4,UNRESOLVED
Binks,Bologna,60.0,UNRESOLVED
Ferrarini,Fiorentina,70.6,UNRESOLVED
Aya,Salernitana,57.1,UNRESOLVED
Strandberg,Salernitana,55.6,UNRESOLVED
Modolo,Venezia,61.5,UNRESOLVED
Kechrida,Salernitana,57.1,UNRESOLVED
Serpe,Genoa,72.7,UNRESOLVED
Kasius,Bologna,54.5,UNRESOLVED
Mbaye,Bologna,66.7,UNRESOLVED
De Maio,Udinese,61.5,UNRESOLVED
Ghiglione,Genoa,62.5,UNRESOLVED
Capradossi,Spezia,66.7,UNRESOLVED
Peluso,Sassuolo,61.5,UNRESOLVED
Molinaro,Venezia,71.4,UNRESOLVED
Veseli,Salernitana,61.5,UNRESOLVED
Delli Carri,Salernitana,66.7,UNRESOLVED
Jaroszynski,Salernitana,54.5,UNRESOLVED
Kolarov,Inter,61.5,UNRESOLVED
Marchizza,Empoli,62.5,UNRESOLVED
Stryger Larsen,Udinese,52.2,UNRESOLVED
Opoku,Udinese,60.0,UNRESOLVED
Imperiale,Empoli,62.5,UNRESOLVED
Malcuit,Napoli,61.5,UNRESOLVED
Vavro,Lazio,60.0,UNRESOLVED
