nome,squadra,confidence,status
Mandas,Lazio,72.7,UNRESOLVED
Stankovic F.,Venezia,60.9,UNRESOLVED
Radu I.,Venezia,58.8,UNRESOLVED
Musso,Atalanta,66.7,UNRESOLVED
Reina,Como,66.7,UNRESOLVED
Joronen,Venezia,61.5,UNRESOLVED
Pizzignacco,Monza,55.6,UNRESOLVED
Radunovic,Cagliari,66.7,UNRESOLVED
Chiorra,Empoli,66.7,UNRESOLVED
Martinelli T.,Fiorentina,63.2,UNRESOLVED
Cragno,Monza,66.7,UNRESOLVED
Sorrentino A.,Monza,66.7,UNRESOLVED
Chichizola,Parma,58.8,UNRESOLVED
Boer,Roma,66.7,UNRESOLVED
Ryan,Roma,66.7,UNRESOLVED
Popa,Torino,66.7,UNRESOLVED
Bertinato,Venezia,63.2,UNRESOLVED
Grandi,Venezia,66.7,UNRESOLVED
Brancolini,Empoli,70.6,UNRESOLVED
Donnarumma An.,Torino,54.5,UNRESOLVED
Mazza,Monza,66.7,UNRESOLVED
Rui Patricio,Atalanta,66.7,UNRESOLVED
Seghetti,Empoli,61.5,UNRESOLVED
Piana,Udinese,66.7,UNRESOLVED
Selvik,Udinese,72.7,UNRESOLVED
Marcone,Parma,71.4,UNRESOLVED
Stolz,Genoa,60.0,UNRESOLVED
De Marzi,Roma,66.7,UNRESOLVED
Dodo',Fiorentina,66.7,UNRESOLVED
Hernandez T.,Milan,52.6,UNRESOLVED
Birindelli,Monza,66.7,UNRESOLVED
Kyriakopoulos,Monza,45.5,UNRESOLVED
Augello,Cagliari,66.7,UNRESOLVED
Cacace,Empoli,66.7,UNRESOLVED
Ruggeri,Atalanta,61.5,UNRESOLVED
Bijol,Udinese,72.7,UNRESOLVED
Tchatchoua,Verona,50.0,UNRESOLVED
Walker,Milan,66.7,UNRESOLVED
Varane,Como,61.5,UNRESOLVED
Pavard,Inter,72.7,UNRESOLVED
Haps,Venezia,50.0,UNRESOLVED
Jimenez A.,Milan,70.6,UNRESOLVED
Hateboer,Atalanta,66.7,UNRESOLVED
Gendrey,Lecce,57.1,UNRESOLVED
Mari',Fiorentina,72.7,UNRESOLVED
Emerson Royal,Milan,52.2,UNRESOLVED
Leoni,Parma,66.7,UNRESOLVED
Goglichidze,Empoli,55.6,UNRESOLVED
Bani,Genoa,72.7,UNRESOLVED
Palomino,Cagliari,62.5,UNRESOLVED
Guilbert,Lecce,66.7,UNRESOLVED
Schingtienne,Venezia,53.8,UNRESOLVED
Alberto Costa,Juventus,60.0,UNRESOLVED
Bakker,Atalanta,57.1,UNRESOLVED
Di Pardo,Cagliari,66.7,UNRESOLVED
Ebuehi,Empoli,57.1,UNRESOLVED
Vogliacco,Parma,62.5,UNRESOLVED
De Sciglio,Empoli,63.6,UNRESOLVED
Izzo,Monza,57.1,UNRESOLVED
Pereira P.,Monza,66.7,UNRESOLVED
Natan,Napoli,66.7,UNRESOLVED
Balogh,Parma,72.7,UNRESOLVED
Ferreira J.,Udinese,57.1,UNRESOLVED
Altare,Venezia,66.7,UNRESOLVED
Zampano,Venezia,66.7,UNRESOLVED
Dawidowicz,Verona,57.1,UNRESOLVED
Erlic,Bologna,72.7,UNRESOLVED
Dembele' A.,Torino,52.6,UNRESOLVED
Toloi,Atalanta,72.7,UNRESOLVED
Thiaw,Milan,54.5,UNRESOLVED
Abankwah,Udinese,61.5,UNRESOLVED
Hummels,Roma,53.3,UNRESOLVED
Godfrey,Atalanta,61.5,UNRESOLVED
Posch,Atalanta,54.5,UNRESOLVED
Wieteska,Cagliari,57.1,UNRESOLVED
Hatzidiakos,Cagliari,53.3,UNRESOLVED
Azzi,Cagliari,72.7,UNRESOLVED
Barba,Como,66.7,UNRESOLVED
Matturro,Genoa,63.2,UNRESOLVED
Bettella,Monza,66.7,UNRESOLVED
Kumbulla,Roma,57.1,UNRESOLVED
Dahl,Roma,60.0,UNRESOLVED
Giannetti L.,Udinese,63.6,UNRESOLVED
Svoboda,Venezia,71.4,UNRESOLVED
Esteves G.,Udinese,70.6,UNRESOLVED
