storico_id,nome,squadra,stagione,generated_player_uid
453,Szczesny,Juventus,2021-22,0034e9f88d4196fd
2468,Ospina,Napoli,2021-22,801dd2b4b123fbf9
250,Handanovic,Inter,2021-22,5da3be5d6420de71
316,Berisha,Torino,2021-22,4bb5b73295a81c7b
4270,Rui Patricio,Roma,2021-22,4877f67f8857e4d0
1934,Strakosha,Lazio,2021-22,59199003883cab3a
2792,Musso,Atalanta,2021-22,3b761fb1b36efb22
4964,Vicario,Empoli,2021-22,0b5287af594abfbe
509,Consigli,Sassuolo,2021-22,9f3e0708237ab4b8
2178,Cragno,Cagliari,2021-22,15b211f58f8d9ced
2179,Sirigu,Genoa,2021-22,4ae3482e584bba2d
159,Sepe,Salernitana,2021-22,295fdef1c0c6b084
5478,Maenpaa,Venezia,2021-22,dadff10a729b67c5
387,Reina,Lazio,2021-22,262e5843c3cdc5fd
720,Belec,Salernitana,2021-22,758da71c88be7e14
799,Bardi,Bologna,2021-22,f762270eeaf4f576
1917,Dragowski,Fiorentina,2021-22,3ece324229f2ecde
5528,Zovko,Spezia,2021-22,3e6ff8bbc1a00907
3,Radunovic,Cagliari,2021-22,a89e9c49a3c064ba
5005,Zoet,Spezia,2021-22,9a4b7f1de0fdc401
41,Mirante,Milan,2021-22,563f623b98b5f9db
42,Sarr M.,Bologna,2021-22,0b7d703612ba5727
160,Tatarusanu,Milan,2021-22,46429a718ee1938f
220,Ujkani,Empoli,2021-22,13f9e4ee1fe84737
318,Marchetti,Genoa,2021-22,7e78aae817707d72
481,Brignoli,Empoli,2021-22,765169ad85708706
510,Pegolo,Sassuolo,2021-22,ee5839e91451b94f
1843,Radu I.,Inter,2021-22,18050c218e0ef117
1889,Cordaz,Inter,2021-22,03736049b350ae68
1946,Aresti,Cagliari,2021-22,123d7e89145f1d30
1947,Fiorillo,Salernitana,2021-22,15449a58a13575d5
2091,Plizzari,Milan,2021-22,2643422fcfc58f6a
2249,Santurro,Udinese,2021-22,d9b4a7f93ba7fac4
2628,Romero S.,Venezia,2021-22,f6b395d9435307c8
2781,Fuzato,Roma,2021-22,f112ae925abd692b
2790,Rosati,Fiorentina,2021-22,5be9ca40bd57b07c
4441,Andrenacci,Genoa,2021-22,bc1ad4f890ad429c
4491,Berardi A.,Verona,2021-22,330896d38870611c
4525,Gemello,Torino,2021-22,731d5c16ae66afa3
4977,Ravaglia,Sampdoria,2021-22,34f0441ba64eb708
4981,Krapikas,Spezia,2021-22,a2174e54a86bb687
4996,Pandur,Verona,2021-22,db03fc7ce645af52
5304,Boer,Roma,2021-22,4a6b6692adf2a1ab
5306,Alia,Lazio,2021-22,8585746e657f20be
5333,Gasparini,Udinese,2021-22,c012d62dc9d4ceec
