nome,squadra,confidence,status
Vicario,Empoli,66.7,UNRESOLVED
Szczesny,Juventus,53.3,UNRESOLVED
Rui Patricio,Roma,66.7,UNRESOLVED
Dragowski,Spezia,63.2,UNRESOLVED
Ochoa,Salernitana,66.7,UNRESOLVED
Cerofolini,Fiorentina,66.7,UNRESOLVED
Musso,Atalanta,66.7,UNRESOLVED
Handanovic,Inter,58.8,UNRESOLVED
Consigli,Sassuolo,66.7,UNRESOLVED
Tatarusanu,Milan,50.0,UNRESOLVED
Cordaz,Inter,62.5,UNRESOLVED
Zoet,Spezia,66.7,UNRESOLVED
Radu I.,Cremonese,58.8,UNRESOLVED
Turk,Sampdoria,60.0,UNRESOLVED
Mirante,Milan,66.7,UNRESOLVED
Lamanna,Monza,57.1,UNRESOLVED
Ujkani,Empoli,66.7,UNRESOLVED
Fiorillo,Salernitana,66.7,UNRESOLVED
Cragno,Monza,66.7,UNRESOLVED
Sirigu,Fiorentina,66.7,UNRESOLVED
Rosati,Fiorentina,72.7,UNRESOLVED
Brancolini,Lecce,70.6,UNRESOLVED
Bleve,Lecce,57.1,UNRESOLVED
Russo A.,Sassuolo,63.6,UNRESOLVED
Gemello,Torino,66.7,UNRESOLVED
Boer,Roma,66.7,UNRESOLVED
Gasparini,Udinese,70.0,UNRESOLVED
Adamonis,Lazio,62.5,UNRESOLVED
Zovko,Spezia,60.0,UNRESOLVED
Molla,Bologna,66.7,UNRESOLVED
Russo,Salernitana,61.5,UNRESOLVED
Piana,Udinese,66.7,UNRESOLVED
Luis Maximiano,Lazio,50.0,UNRESOLVED
Sorrentino A.,Monza,66.7,UNRESOLVED
Ciezkowski,Cremonese,70.0,UNRESOLVED
Micai,Salernitana,66.7,UNRESOLVED
Chiesa M.,Verona,63.2,UNRESOLVED
Saro,Cremonese,60.0,UNRESOLVED
Martinelli T.,Fiorentina,63.2,UNRESOLVED
Posch,Bologna,54.5,UNRESOLVED
Molina N.,Udinese,62.5,UNRESOLVED
Kim,Napoli,54.5,UNRESOLVED
Hernandez T.,Milan,52.6,UNRESOLVED
Udogie,Udinese,60.0,UNRESOLVED
Ebuehi,Empoli,57.1,UNRESOLVED
Schuurs,Torino,50.0,UNRESOLVED
Toloi,Atalanta,72.7,UNRESOLVED
Depaoli,Verona,66.7,UNRESOLVED
Augello,Sampdoria,66.7,UNRESOLVED
Maehle,Atalanta,72.7,UNRESOLVED
Theate,Bologna,71.4,UNRESOLVED
Bijol,Udinese,72.7,UNRESOLVED
Mario Rui,Napoli,71.4,UNRESOLVED
Faraoni,Verona,66.7,UNRESOLVED
Milenkovic,Fiorentina,73.7,UNRESOLVED
Reca,Spezia,60.0,UNRESOLVED
Kyriakopoulos,Bologna,45.5,UNRESOLVED
Singo,Torino,66.7,UNRESOLVED
Mari',Monza,72.7,UNRESOLVED
Dodo',Fiorentina,66.7,UNRESOLVED
Izzo,Monza,57.1,UNRESOLVED
Skriniar,Inter,57.1,UNRESOLVED
Terzic,Fiorentina,66.7,UNRESOLVED
Rodrigo Becao,Udinese,64.0,UNRESOLVED
Bonucci,Juventus,61.5,UNRESOLVED
Djidji,Torino,57.1,UNRESOLVED
Ibanez,Roma,61.5,UNRESOLVED
Llorente D.,Roma,66.7,UNRESOLVED
Kiwior,Spezia,57.1,UNRESOLVED
Gendrey,Lecce,57.1,UNRESOLVED
Gyomber,Salernitana,66.7,UNRESOLVED
Rogerio,Sassuolo,61.5,UNRESOLVED
Umtiti,Lecce,61.5,UNRESOLVED
Troost-Ekong,Salernitana,55.6,UNRESOLVED
Nikolaou,Spezia,66.7,UNRESOLVED
Demiral,Atalanta,61.5,UNRESOLVED
Ampadu,Spezia,61.5,UNRESOLVED
Lochoshvili,Cremonese,52.6,UNRESOLVED
Thiaw,Milan,54.5,UNRESOLVED
D'ambrosio,Inter,55.6,UNRESOLVED
Medel,Bologna,61.5,UNRESOLVED
Ferrari G.,Sassuolo,58.8,UNRESOLVED
Colley,Sampdoria,55.6,UNRESOLVED
Toljan,Sassuolo,61.5,UNRESOLVED
Soumaoro,Bologna,61.5,UNRESOLVED
Ballo-Toure',Milan,50.0,UNRESOLVED
Amione,Sampdoria,72.7,UNRESOLVED
Birindelli,Monza,66.7,UNRESOLVED
Sambia,Salernitana,71.4,UNRESOLVED
Ferrari A.,Cremonese,60.0,UNRESOLVED
Ranocchia,Monza,66.7,UNRESOLVED
Chiriches,Cremonese,52.6,UNRESOLVED
Pereira P.,Monza,66.7,UNRESOLVED
Palomino,Atalanta,62.5,UNRESOLVED
Bonifazi,Bologna,70.6,UNRESOLVED
Nuytinck,Sampdoria,57.1,UNRESOLVED
Gunter,Sampdoria,66.7,UNRESOLVED
Zeegelaar,Udinese,57.1,UNRESOLVED
Igor,Fiorentina,66.7,UNRESOLVED
Dawidowicz,Verona,57.1,UNRESOLVED
Daniliuc,Salernitana,66.7,UNRESOLVED
Kasius,Bologna,54.5,UNRESOLVED
Aiwu,Cremonese,46.2,UNRESOLVED
Wisniewski,Spezia,57.1,UNRESOLVED
Ghiglione,Cremonese,62.5,UNRESOLVED
De Sciglio,Juventus,63.6,UNRESOLVED
Alex Sandro,Juventus,60.0,UNRESOLVED
Murru,Sampdoria,60.0,UNRESOLVED
Sampirisi,Monza,66.7,UNRESOLVED
Bereszynski,Napoli,57.1,UNRESOLVED
Hateboer,Atalanta,66.7,UNRESOLVED
Gravillon,Torino,71.4,UNRESOLVED
Leverbe,Sampdoria,57.1,UNRESOLVED
Hristov,Spezia,66.7,UNRESOLVED
Marlon,Monza,72.7,UNRESOLVED
Kjaer,Milan,54.5,UNRESOLVED
Okoli,Atalanta,61.5,UNRESOLVED
Benkovic,Udinese,70.6,UNRESOLVED
Lovato,Salernitana,61.5,UNRESOLVED
Frabotta,Lecce,71.4,UNRESOLVED
Ayhan,Sassuolo,72.7,UNRESOLVED
Erlic,Sassuolo,72.7,UNRESOLVED
Ceccaroni,Lecce,73.7,UNRESOLVED
Cacace,Empoli,66.7,UNRESOLVED
Ravanelli,Cremonese,62.5,UNRESOLVED
Quagliata,Cremonese,53.3,UNRESOLVED
Abankwah,Udinese,61.5,UNRESOLVED
Guessand A.,Udinese,64.0,UNRESOLVED
